symbol,interval,open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,price_range,price_change,percent_change,candle_direction
ETHUSDT,1h,2026-06-11 04:00:00+00:00,1653.94,1659.72,1650.0,1656.89,6886.6593,2026-06-11 04:59:59.999000+00:00,11391383.819356,98880.0,3276.3379,5419497.383114,9.720000000000027,2.9500000000000455,0.1783619720183347,up
ETHUSDT,1h,2026-06-29 08:00:00+00:00,1580.17,1582.33,1569.85,1572.98,7152.0886,2026-06-29 08:59:59.999000+00:00,11269050.849177,87586.0,2584.6772,4073289.532147,12.480000000000018,-7.190000000000055,-0.45501433390078627,down
ETHUSDT,1h,2026-06-11 23:00:00+00:00,1676.16,1679.25,1670.19,1673.46,6496.6753,2026-06-11 23:59:59.999000+00:00,10874575.73495,82371.0,3474.9904,5816814.95225,9.059999999999945,-2.7000000000000455,-0.16108247422680683,down
ETHUSDT,1h,2026-06-06 01:00:00+00:00,1593.04,1596.77,1578.15,1583.16,12688.5562,2026-06-06 01:59:59.999000+00:00,20130038.860571,194160.0,5773.9301,9158345.187668,18.61999999999989,-9.879999999999882,-0.6201978606940116,down
LINKUSDT,1h,2026-05-24 13:00:00+00:00,9.546,9.559,9.468,9.494,66049.24,2026-05-24 13:59:59.999000+00:00,627603.18621,5130.0,34757.56,330067.60367,0.0909999999999993,-0.0519999999999996,-0.5447307772889127,down
LINKUSDT,1h,2026-06-30 08:00:00+00:00,7.3,7.305,7.248,7.268,143393.39,2026-06-30 08:59:59.999000+00:00,1042348.66808,5104.0,65590.01,476811.45863,0.056999999999999496,-0.03200000000000003,-0.43835616438356206,down
LINKUSDT,1h,2026-06-15 15:00:00+00:00,8.454,8.6,8.419,8.561,222818.13,2026-06-15 15:59:59.999000+00:00,1895055.36913,13285.0,104257.15,886725.22771,0.18099999999999916,0.10699999999999932,1.26567305417553,up
LINKUSDT,1h,2026-06-01 10:00:00+00:00,9.027,9.036,8.984,9.019,54701.76,2026-06-01 10:59:59.999000+00:00,493026.22292,4795.0,23082.79,208146.9165,0.0519999999999996,-0.007999999999999119,-0.08862301982939093,down
LINKUSDT,1h,2026-06-05 06:00:00+00:00,7.654,7.668,7.338,7.492,750456.22,2026-06-05 06:59:59.999000+00:00,5623835.63031,41289.0,326105.2,2441448.39371,0.33000000000000007,-0.16199999999999992,-2.116540371047817,down
SOLUSDT,1h,2026-06-18 00:00:00+00:00,72.05,72.5,72.03,72.22,48547.507,2026-06-18 00:59:59.999000+00:00,3509309.87156,24879.0,26758.619,1934464.84921,0.46999999999999886,0.1700000000000017,0.2359472588480246,up
SOLUSDT,1h,2026-06-18 18:00:00+00:00,68.64,68.99,68.23,68.66,147840.926,2026-06-18 18:59:59.999000+00:00,-10143587.00326,44125.0,85670.766,5878828.95184,0.7599999999999909,0.01999999999999602,0.029137529137523342,up
SOLUSDT,1h,2026-06-26 21:00:00+00:00,72.18,72.4,71.8,71.99,108722.07,2026-06-26 21:59:59.999000+00:00,7833642.25188,44337.0,52645.727,3794103.21143,0.6000000000000085,-0.19000000000001194,-0.26323081185925734,down
SOLUSDT,1h,2026-05-30 13:00:00+00:00,82.43,82.57,82.25,82.48,35489.486,2026-05-30 13:59:59.999000+00:00,2925804.17217,8126.0,19016.203,1567973.48845,0.3199999999999932,0.04999999999999716,0.060657527599171604,up
SOLUSDT,1h,2026-06-17 15:00:00+00:00,72.39,73.87,72.36,73.81,133738.882,2026-06-17 15:59:59.999000+00:00,9774473.29731,59155.0,73372.21,5367634.69902,1.5100000000000051,1.4200000000000017,1.9615969056499543,up
XRPUSDT,1h,2026-05-23 23:00:00+00:00,1.3587,1.3616,1.3571,1.3583,2349721.4,2026-05-23 23:59:59.999000+00:00,3194018.27336,12275.0,1367533.2,1858775.96955,0.0044999999999999485,-0.00039999999999995595,-0.02943990579229822,down
XRPUSDT,1h,2026-06-21 03:00:00+00:00,1.1475,1.1516,1.1463,1.1495,843486.1,2026-06-21 03:59:59.999000+00:00,969167.15686,9253.0,464262.9,533403.78053,0.00529999999999986,0.0020000000000000018,0.17429193899782153,up
XRPUSDT,1h,2026-05-25 07:00:00+00:00,1.3583,1.361,1.3526,1.3589,4010925.0,2026-05-25 07:59:59.999000+00:00,5438689.48842,14445.0,2260034.2,3064868.50267,0.008399999999999963,0.0005999999999999339,0.04417286313774084,up
XRPUSDT,1h,2026-06-06 03:00:00+00:00,1.0957,1.0958,1.0835,1.086,6181399.1,2026-06-06 03:59:59.999000+00:00,6728622.86065,64045.0,2962803.8,3224635.38656,0.0123000000000002,-0.00969999999999982,-0.8852788171944712,down
XRPUSDT,1h,2026-06-22 06:00:00+00:00,1.1353,1.1378,1.1294,1.131,2972514.9,2026-06-22 06:59:59.999000+00:00,3368571.04235,14771.0,1652239.6,1871938.13641,0.008399999999999963,-0.0042999999999999705,-0.3787545142253123,down
